userid, name, alias, mobile, department, order, position, gender, email, telephone, is_leader_in_dept, avatar_mediaid, enable, extattr, boolean to_invite, external_profile, external_position, address, main_department,return_code
tengjb,tengjingbao,,18027660534,,,,,,,,,,,,,,,,0
TengJingBao,tengjingbao,,18027660568,,,,,,,,,,,,,,,,60102
tengjingbao,tengjingbao,,18027660578,,,,,,,,,,,,,,,,60102
,tengjingbao,,18027660590,,,,,,,,,,,,,,,,0
t,tengjingbao,,18027660580,,,,,,,,,,,,,,,,0
tengjingbao01234567890123456789012345678901234567890123456789012,tengjingbao,,18127660533,,,,,,,,,,,,,,,,0
tengjingbao012345678901234567890123456789012345678901234567890123,tengjingbao,,18227660533,,,,,,,,,,,,,,,,40058
t0_-@.,tengjingbao,,18329386998,,,,,,,,,,,,,,,,0
t0_-@.%&*^$#中文,tengjingbao,,18344393868,,,,,,,,,,,,,,,,40003
0t_-@.,tengjingbao,,18234397883,,,,,,,,,,,,,,,,0
_-@.t0,tengjingbao,,19833398668,,,,,,,,,,,,,,,,40003
tengjb,,,13439868899,,,,,,,,,,,,,,,,0
tengjb,t,,18892836888,,,,,,,,,,,,,,,,0
tengjb,t0_-@.%&*^$#中文~`!()+=<>?/:;t0_-@.%&*^$#中文~`!()+=<>?/:;1234567890,,13438688899,,,,,,,,,,,,,,,,0
tengjb,tengjingbao012345678901234567890123456789012345678901234567890123,,15800834332,,,,,,,,,,,,,,,,40058
tengjb,tengjingbao,t,13433239986,,,,,,,,,,,,,,,,0
tengjb,tengjingbao,t0_-@.%&*^$#中文~`!()+=<>?/:;t0_-@,13498868899,,,,,,,,,,,,,,,,0
tengjb,tengjingbao,t0_-@.%&*^$#中文~`!()+=<>?/:;t0_-@0,13498868899,,,,,,,,,,,,,,,,40058
tengjb,tengjingbao,,18027660547,,,,,,,,,,,,,,,,60104
tengjb,tengjingbao,,,,,,,,,,,,,,,,,,60129
tengjb,tengjingbao,,19834368383,{50},{0},,,,,{0},,,,,,,,50,40066
tengjb,tengjingbao,,13438688868,"{1,3,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,3,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",,,,,,,,,0
tengjb,tengjingbao,,13438688869,"{1,3,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}","{1,3,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}",,,,,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",,,,,,,,,60110
tengjb,tengjingbao,,13438688870,"{1,3,2,4}","{1,2,3}",,,,,"{0,0,0,0}",,,,,,,,,0
tengjb,tengjingbao,,19834368384,{1},{2147483647},,,,,{0},,,,,,,,50,0
tengjb,tengjingbao,,19834368385,{1},{2147483648},,,,,{0},,,,,,,,50,0
tengjb,tengjingbao,,19834368386,,,0123456789abcdefghijklmnopqrstuvwxyz0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ89abcdefghijklmnopqrstuvwxyzAB,,,,,,,,,,,,,0
tengjb,tengjingbao,,19834368387,,,0123456789abcdefghijklmnopqrstuvwxyz0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ89abcdefghijklmnopqrstuvwxyzABc,,,,,,,,,,,,,40058
tengjb,tengjingbao,,19834368388,,,,0,,,,,,,,,,,,0
tengjb,tengjingbao,,19834368389,,,,,t@6.v,,,,,,,,,,,40058
tengjb,tengjingbao,,19834368390,,,,,t@6.cn,,,,,,,,,,,0
tengjb,tengjingbao,,19834368391,,,,,tengjingbao012345678901234567890123456789012345678901234@126.com,,,,,,,,,,,0
tengjb,tengjingbao,,19834368392,,,,,tengjingbao0123456789012345678901234567890123456789012345@126.com,,,,,,,,,,,40058
tengjb,tengjingbao,,19834368393,,,,,123456,,,,,,,,,,,60105
tengjb,tengjingbao,,19834368394,,,,,tengjingbao@126.com,,,,,,,,,,,60106
tengjb,tengjingbao,,19834368395,,,,,,a010-12348886,,,,,,,,,,301013
tengjb,tengjingbao,,19834368396,,,,,,012345678901234567890123456789-0,,,,,,,,,,0
tengjb,tengjingbao,,19834368397,,,,,,012345678901234567890123456789-01,,,,,,,,,,40058
tengjb,tengjingbao,,19834368398,{1},{2},,,,,"{0,1}",,,,,,,,,60132
tengjb,tengjingbao,,19834368399,{1},{2},,,,,{2},,,,,,,,,40058
tengjb,tengjingbao,,19834368400,,,,,,,,,0,,,,,,,0
